종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유,성장성점수,수익성점수,안정성점수,투자지표점수
대동,000490,9720,256536635760,-1.2418027068508442,-3.1859282283130828,254.72388556220892,-6.9147,0.4029,20,주의 필요,매출 성장률이 -1.24%로 저조함; 순이익률이 -3.19%로 개선 필요; 부채비율이 254.72%로 높음; PER이 -6.91로 저평가 가능성; PBR이 0.40로 저평가 가능성,0,0,0,20
가온전선,000500,64600,1068685229000,15.247564393433871,1.4706733831277863,129.8655499228565,33.8192,2.669,10,주의 필요,매출 성장률이 15.25%로 양호함; 순이익률이 1.47%로 개선 필요; 부채비율이 129.87%로 높음; PER이 33.82로 고평가 가능성; PBR이 2.67로 고평가 가능성,10,0,0,0
삼일제약,000520,10290,223208735190,11.920529801324504,-2.548930359581247,124.30437251561612,-17.1699,1.2915,40,보통,매출 성장률이 11.92%로 양호함; 순이익률이 -2.55%로 개선 필요; 부채비율이 124.30%로 높음; PER이 -17.17로 저평가 가능성; PBR이 1.29로 적정 수준,10,0,0,30
흥국화재,000540,4700,301940431500,,,1568.7847806393168,1.6138,0.3461,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 1568.78%로 높음; PER이 1.61로 저평가 가능성; PBR이 0.35로 저평가 가능성,0,0,0,20
CS홀딩스,000590,86300,99631796600,-17.441860465116278,26.69014084507042,9.298013245033113,2.6498,0.2694,60,좋음,매출 성장률이 -17.44%로 저조함; 순이익률이 26.69%로 우수함; 부채비율이 9.30%로 안정적임; PER이 2.65로 저평가 가능성; PBR이 0.27로 저평가 가능성,0,20,20,20
동아쏘시오홀딩스,000640,114000,745153476000,17.77385159010601,4.32043204320432,90.84500422972084,10.9905,0.7006,50,보통,매출 성장률이 17.77%로 양호함; 순이익률이 4.32%로 개선 필요; 부채비율이 90.85%로 높음; PER이 10.99로 적정 수준; PBR이 0.70로 적정 수준,10,0,0,40
천일고속,000650,42850,61242077000,1.5909090909090908,-9.395973154362416,279.4326241134752,-14.2423,4.1947,10,주의 필요,매출 성장률이 1.59%로 저조함; 순이익률이 -9.40%로 개선 필요; 부채비율이 279.43%로 높음; PER이 -14.24로 저평가 가능성; PBR이 4.19로 고평가 가능성,0,0,0,10
SK하이닉스,000660,262000,190736619630000,102.01918469619145,29.90784524043328,62.151207388957964,7.3394,2.7201,60,좋음,매출 성장률이 102.02%로 우수함; 순이익률이 29.91%로 우수함; 부채비율이 62.15%로 높음; PER이 7.34로 적정 수준; PBR이 2.72로 고평가 가능성,20,20,0,20
영풍,000670,43250,826440462500,-25.900523699391233,-11.76006314127861,43.06827591398389,-25.7458,0.1954,20,주의 필요,매출 성장률이 -25.90%로 저조함; 순이익률이 -11.76%로 개선 필요; 부채비율이 43.07%로 높음; PER이 -25.75로 저평가 가능성; PBR이 0.20로 저평가 가능성,0,0,0,20
LS네트웍스,000680,3895,306937747320,409.43097997892517,-1.6496018202502845,931.5320154705629,-8.4789,0.3241,40,보통,매출 성장률이 409.43%로 우수함; 순이익률이 -1.65%로 개선 필요; 부채비율이 931.53%로 높음; PER이 -8.48로 저평가 가능성; PBR이 0.32로 저평가 가능성,20,0,0,20
유수홀딩스,000700,5910,153907108920,27.530719719133995,7.24936912135811,16.273985912071897,5.4967,0.386,70,좋음,매출 성장률이 27.53%로 우수함; 순이익률이 7.25%로 개선 필요; 부채비율이 16.27%로 안정적임; PER이 5.50로 적정 수준; PBR이 0.39로 저평가 가능성,20,0,20,30
현대건설,000720,65600,7304938184000,10.181306784839839,-2.3452493549186877,179.28723602291765,-9.0419,0.7119,40,보통,매출 성장률이 10.18%로 양호함; 순이익률이 -2.35%로 개선 필요; 부채비율이 179.29%로 높음; PER이 -9.04로 저평가 가능성; PBR이 0.71로 적정 수준,10,0,0,30
이화산업,000760,12740,35672000000,4.872881355932203,-0.6060606060606061,30.275229357798167,-71.344,0.1716,20,주의 필요,매출 성장률이 4.87%로 저조함; 순이익률이 -0.61%로 개선 필요; 부채비율이 30.28%로 높음; PER이 -71.34로 저평가 가능성; PBR이 0.17로 저평가 가능성,0,0,0,20
삼성화재,000810,435500,20037858002500,,,459.3409903731525,10.1002,1.2528,40,보통,매출 데이터 부족; 재무 데이터 부족; 부채비율이 459.34%로 높음; PER이 10.10로 적정 수준; PBR이 1.25로 적정 수준,0,0,0,40
화천기공,000850,32150,70730000000,-1.55073105892778,3.9153915391539154,27.12718648087756,9.5581,0.2082,30,주의 필요,매출 성장률이 -1.55%로 저조함; 순이익률이 3.92%로 개선 필요; 부채비율이 27.13%로 높음; PER이 9.56로 적정 수준; PBR이 0.21로 저평가 가능성,0,0,0,30
강남제비스코,000860,12550,163150000000,0.6731371321227302,2.8144923029077904,37.56028368794326,11.6536,0.2321,30,주의 필요,매출 성장률이 0.67%로 저조함; 순이익률이 2.81%로 개선 필요; 부채비율이 37.56%로 높음; PER이 11.65로 적정 수준; PBR이 0.23로 저평가 가능성,0,0,0,30
한화,000880,93400,7001145849000,4.727598485361759,3.037730830883357,537.0716195926374,2.9445,0.2008,20,주의 필요,매출 성장률이 4.73%로 저조함; 순이익률이 3.04%로 개선 필요; 부채비율이 537.07%로 높음; PER이 2.94로 저평가 가능성; PBR이 0.20로 저평가 가능성,0,0,0,20
보해양조,000890,461,64134379469,-5.907626208378089,7.648401826484018,59.54022988505747,10.3443,0.7612,40,보통,매출 성장률이 -5.91%로 저조함; 순이익률이 7.65%로 개선 필요; 부채비율이 59.54%로 높음; PER이 10.34로 적정 수준; PBR이 0.76로 적정 수준,0,0,0,40
유니온,000910,4855,75794410245,-2.8927458834000888,-31.57653528872594,200.68897637795277,-1.3583,0.5807,30,주의 필요,매출 성장률이 -2.89%로 저조함; 순이익률이 -31.58%로 개선 필요; 부채비율이 200.69%로 높음; PER이 -1.36로 저평가 가능성; PBR이 0.58로 적정 수준,0,0,0,30
전방,000950,34000,57120000000,-39.66244725738397,15.55944055944056,16.758933064921994,1.3698,0.2776,50,보통,매출 성장률이 -39.66%로 저조함; 순이익률이 15.56%로 양호함; 부채비율이 16.76%로 안정적임; PER이 1.37로 저평가 가능성; PBR이 0.28로 저평가 가능성,0,10,20,20
한국주철관,000970,7230,164847615000,-8.086785009861932,3.4096328087744396,20.702247191011235,11.3688,0.4644,30,주의 필요,매출 성장률이 -8.09%로 저조함; 순이익률이 3.41%로 개선 필요; 부채비율이 20.70%로 높음; PER이 11.37로 적정 수준; PBR이 0.46로 저평가 가능성,0,0,0,30
DB하이텍,000990,46150,2048994836200,-1.9927222318488997,20.27934936350778,19.803068925875944,8.8548,1.0576,80,매우 좋음,매출 성장률이 -1.99%로 저조함; 순이익률이 20.28%로 우수함; 부채비율이 19.80%로 안정적임; PER이 8.85로 적정 수준; PBR이 1.06로 적정 수준,0,20,20,40
신라섬유,001000,1835,44549285900,-2.631578947368421,-8.108108108108109,112.5,-148.4976,3.1099,10,주의 필요,매출 성장률이 -2.63%로 저조함; 순이익률이 -8.11%로 개선 필요; 부채비율이 112.50%로 높음; PER이 -148.50로 저평가 가능성; PBR이 3.11로 고평가 가능성,0,0,0,10
페이퍼코리아,001020,719,127970002047,-19.856393261529963,-3.3425223983459684,72.69203664552502,-11.5288,0.4413,20,주의 필요,매출 성장률이 -19.86%로 저조함; 순이익률이 -3.34%로 개선 필요; 부채비율이 72.69%로 높음; PER이 -11.53로 저평가 가능성; PBR이 0.44로 저평가 가능성,0,0,0,20
CJ,001040,149500,4361961201000,5.547400774314616,0.34641794224992956,167.64301492133615,31.909,0.2463,10,주의 필요,매출 성장률이 5.55%로 저조함; 순이익률이 0.35%로 개선 필요; 부채비율이 167.64%로 높음; PER이 31.91로 고평가 가능성; PBR이 0.25로 저평가 가능성,0,0,0,10
JW중외제약,001060,22400,521604832000,-3.8877755511022043,9.035307200444816,83.49013657056146,8.3591,1.6719,40,보통,매출 성장률이 -3.89%로 저조함; 순이익률이 9.04%로 개선 필요; 부채비율이 83.49%로 높음; PER이 8.36로 적정 수준; PBR이 1.67로 적정 수준,0,0,0,40
대한방직,001070,6560,34768000000,-10.37483266398929,0.8215085884988798,40.136054421768705,115.8933,0.2637,10,주의 필요,매출 성장률이 -10.37%로 저조함; 순이익률이 0.82%로 개선 필요; 부채비율이 40.14%로 높음; PER이 115.89로 고평가 가능성; PBR이 0.26로 저평가 가능성,0,0,0,10
만호제강,001080,24250,100637500000,-17.96625626994984,-24.680377987770985,14.349525404801785,-5.4106,0.5408,50,보통,매출 성장률이 -17.97%로 저조함; 순이익률이 -24.68%로 개선 필요; 부채비율이 14.35%로 안정적임; PER이 -5.41로 저평가 가능성; PBR이 0.54로 적정 수준,0,0,20,30
LX인터내셔널,001120,31950,1238382000000,14.628231273769499,1.6198249747559745,169.03542595493434,4.3945,0.3681,30,주의 필요,매출 성장률이 14.63%로 양호함; 순이익률이 1.62%로 개선 필요; 부채비율이 169.04%로 높음; PER이 4.39로 저평가 가능성; PBR이 0.37로 저평가 가능성,10,0,0,20
대한제분,001130,151100,255359000000,-4.634061741241762,3.5498654251836763,50.42899836112985,5.6,0.2473,30,주의 필요,매출 성장률이 -4.63%로 저조함; 순이익률이 3.55%로 개선 필요; 부채비율이 50.43%로 높음; PER이 5.60로 적정 수준; PBR이 0.25로 저평가 가능성,0,0,0,30
국보,001140,2110,33456978680,-14.345991561181433,-66.99507389162561,669.3877551020408,-1.2211,1.9064,30,주의 필요,매출 성장률이 -14.35%로 저조함; 순이익률이 -67.00%로 개선 필요; 부채비율이 669.39%로 높음; PER이 -1.22로 저평가 가능성; PBR이 1.91로 적정 수준,0,0,0,30
유진투자증권,001200,3460,335157806280,,,817.5099866844208,8.3789,0.3201,30,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 817.51%로 높음; PER이 8.38로 적정 수준; PBR이 0.32로 저평가 가능성,0,0,0,30
금호전기,001210,1095,67401626715,-0.37453183520599254,-25.93984962406015,274.1573033707865,-5.6168,9.1392,10,주의 필요,매출 성장률이 -0.37%로 저조함; 순이익률이 -25.94%로 개선 필요; 부채비율이 274.16%로 높음; PER이 -5.62로 저평가 가능성; PBR이 9.14로 고평가 가능성,0,0,0,10
동국홀딩스,001230,8440,268396076520,8.598120688718701,0.985295588676603,41.00359631377838,62.4177,0.1487,10,주의 필요,매출 성장률이 8.60%로 저조함; 순이익률이 0.99%로 개선 필요; 부채비율이 41.00%로 높음; PER이 62.42로 고평가 가능성; PBR이 0.15로 저평가 가능성,0,0,0,10
GS글로벌,001250,2710,223666500440,3.8299502106472616,1.3795647362596828,153.8705695644507,4.2201,0.4105,20,주의 필요,매출 성장률이 3.83%로 저조함; 순이익률이 1.38%로 개선 필요; 부채비율이 153.87%로 높음; PER이 4.22로 저평가 가능성; PBR이 0.41로 저평가 가능성,0,0,0,20
남광토건,001260,8580,84363467760,-7.9423041811210515,1.2296707655692185,248.4544695071011,23.4343,0.7041,20,주의 필요,매출 성장률이 -7.94%로 저조함; 순이익률이 1.23%로 개선 필요; 부채비율이 248.45%로 높음; PER이 23.43로 고평가 가능성; PBR이 0.70로 적정 수준,0,0,0,20
부국증권,001270,53300,552714923800,,,114.38400623133845,17.2723,0.7169,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 114.38%로 높음; PER이 17.27로 고평가 가능성; PBR이 0.72로 적정 수준,0,0,0,20
상상인증권,001290,687,74427601440,,,579.6797349530646,-1.7031,0.388,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 579.68%로 높음; PER이 -1.70로 저평가 가능성; PBR이 0.39로 저평가 가능성,0,0,0,20
PKC,001340,5940,266815337580,5.010706638115631,1.468189233278956,117.57263355201499,65.0769,1.2486,20,주의 필요,매출 성장률이 5.01%로 저조함; 순이익률이 1.47%로 개선 필요; 부채비율이 117.57%로 높음; PER이 65.08로 고평가 가능성; PBR이 1.25로 적정 수준,0,0,0,20
삼성제약,001360,1605,151130136795,-14.807692307692308,-31.82844243792325,21.34088762983947,5.4169,1.2819,40,보통,매출 성장률이 -14.81%로 저조함; 순이익률이 -31.83%로 개선 필요; 부채비율이 21.34%로 높음; PER이 5.42로 적정 수준; PBR이 1.28로 적정 수준,0,0,0,40
SG글로벌,001380,1675,75314939525,2.898550724637681,6.338028169014084,33.53373413493654,18.8287,0.5064,20,주의 필요,매출 성장률이 2.90%로 저조함; 순이익률이 6.34%로 개선 필요; 부채비율이 33.53%로 높음; PER이 18.83로 고평가 가능성; PBR이 0.51로 적정 수준,0,0,0,20
KG케미칼,001390,4620,316326964800,-0.7836025567831995,2.578104726337286,116.21406808848853,1.3438,0.0834,20,주의 필요,매출 성장률이 -0.78%로 저조함; 순이익률이 2.58%로 개선 필요; 부채비율이 116.21%로 높음; PER이 1.34로 저평가 가능성; PBR이 0.08로 저평가 가능성,0,0,0,20
태원물산,001420,3750,28500000000,26.08695652173913,150.86206896551724,18.322295805739515,25.9091,0.6362,80,매우 좋음,매출 성장률이 26.09%로 우수함; 순이익률이 150.86%로 우수함; 부채비율이 18.32%로 안정적임; PER이 25.91로 고평가 가능성; PBR이 0.64로 적정 수준,20,20,20,20
세아베스틸지주,001430,32700,1172691291300,-10.95628749846945,0.5582904760595143,88.37255095008368,114.9697,0.5808,20,주의 필요,매출 성장률이 -10.96%로 저조함; 순이익률이 0.56%로 개선 필요; 부채비율이 88.37%로 높음; PER이 114.97로 고평가 가능성; PBR이 0.58로 적정 수준,0,0,0,20
대한전선,001440,15880,2960783124000,15.727848101265824,2.254428341384863,76.63926208141167,35.8883,1.9684,30,주의 필요,매출 성장률이 15.73%로 양호함; 순이익률이 2.25%로 개선 필요; 부채비율이 76.64%로 높음; PER이 35.89로 고평가 가능성; PBR이 1.97로 적정 수준,10,0,0,20
현대해상,001450,25900,2315460000000,,,922.9750811654087,3.3991,0.4771,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 922.98%로 높음; PER이 3.40로 저평가 가능성; PBR이 0.48로 저평가 가능성,0,0,0,20
BYC,001460,39900,249221385000,-1.9002375296912115,11.138014527845035,26.75646159446669,14.0803,0.4575,40,보통,매출 성장률이 -1.90%로 저조함; 순이익률이 11.14%로 양호함; 부채비율이 26.76%로 높음; PER이 14.08로 적정 수준; PBR이 0.46로 저평가 가능성,0,10,0,30
삼부토건,001470,347,79699592928,-19.582608695652173,-27.63840830449827,3801.298701298701,-0.5636,3.4539,10,주의 필요,매출 성장률이 -19.58%로 저조함; 순이익률이 -27.64%로 개선 필요; 부채비율이 3801.30%로 높음; PER이 -0.56로 저평가 가능성; PBR이 3.45로 고평가 가능성,0,0,0,10
현대차증권,001500,8610,532382508840,,,820.9738115352125,11.7524,0.3973,30,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 820.97%로 높음; PER이 11.75로 적정 수준; PBR이 0.40로 저평가 가능성,0,0,0,30
SK증권,001510,670,316635414570,,,992.3118183443589,-4.2444,0.5515,30,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 992.31%로 높음; PER이 -4.24로 저평가 가능성; PBR이 0.55로 적정 수준,0,0,0,30
동양,001520,624,148938855312,-13.378737158028397,-9.888059701492537,86.62790697674419,-1.7359,0.2012,20,주의 필요,매출 성장률이 -13.38%로 저조함; 순이익률이 -9.89%로 개선 필요; 부채비율이 86.63%로 높음; PER이 -1.74로 저평가 가능성; PBR이 0.20로 저평가 가능성,0,0,0,20
DI동일,001530,42400,835940040800,-4.568750915214526,0.3836120914531226,79.63849016480596,-288.2552,1.4502,30,주의 필요,매출 성장률이 -4.57%로 저조함; 순이익률이 0.38%로 개선 필요; 부채비율이 79.64%로 높음; PER이 -288.26로 저평가 가능성; PBR이 1.45로 적정 수준,0,0,0,30
안국약품,001540,7740,100948330800,16.003423192126657,6.012541497602361,83.66727383120825,8.3428,0.6135,50,보통,매출 성장률이 16.00%로 양호함; 순이익률이 6.01%로 개선 필요; 부채비율이 83.67%로 높음; PER이 8.34로 적정 수준; PBR이 0.61로 적정 수준,10,0,0,40
조비,001550,12840,66668348760,-10.72362685265911,0.5859375,127.51423149905123,66.6683,1.2272,20,주의 필요,매출 성장률이 -10.72%로 저조함; 순이익률이 0.59%로 개선 필요; 부채비율이 127.51%로 높음; PER이 66.67로 고평가 가능성; PBR이 1.23로 적정 수준,0,0,0,20
제일연마,001560,9810,96138000000,-3.755868544600939,7.317073170731707,17.036290322580644,20.0288,0.9798,40,보통,매출 성장률이 -3.76%로 저조함; 순이익률이 7.32%로 개선 필요; 부채비율이 17.04%로 안정적임; PER이 20.03로 고평가 가능성; PBR이 0.98로 적정 수준,0,0,20,20
금양,001570,9900,633275240400,1.118421052631579,-121.0800260247235,154.17593528816985,-3.3578,1.9757,30,주의 필요,매출 성장률이 1.12%로 저조함; 순이익률이 -121.08%로 개선 필요; 부채비율이 154.18%로 높음; PER이 -3.36로 저평가 가능성; PBR이 1.98로 적정 수준,0,0,0,30
케이비아이동국실업,001620,488,54310999128,2.9257776408992915,3.845002992220228,238.5568835768039,3.645,0.2472,20,주의 필요,매출 성장률이 2.93%로 저조함; 순이익률이 3.85%로 개선 필요; 부채비율이 238.56%로 높음; PER이 3.65로 저평가 가능성; PBR이 0.25로 저평가 가능성,0,0,0,20
종근당홀딩스,001630,51100,256003897100,8.865651284382814,4.207558989350595,76.01788656154389,7.1509,0.3023,30,주의 필요,매출 성장률이 8.87%로 저조함; 순이익률이 4.21%로 개선 필요; 부채비율이 76.02%로 높음; PER이 7.15로 적정 수준; PBR이 0.30로 저평가 가능성,0,0,0,30
대상,001680,22950,795172173750,3.5934266585514303,2.272567037202416,142.45647969052223,7.6166,0.5615,40,보통,매출 성장률이 3.59%로 저조함; 순이익률이 2.27%로 개선 필요; 부채비율이 142.46%로 높음; PER이 7.62로 적정 수준; PBR이 0.56로 적정 수준,0,0,0,40
신영증권,001720,128300,2109252000000,,,466.3556501336825,18.7823,1.1895,20,주의 필요,매출 데이터 부족; 재무 데이터 부족; 부채비율이 466.36%로 높음; PER이 18.78로 고평가 가능성; PBR이 1.19로 적정 수준,0,0,0,20
SK네트웍스,001740,4485,992431390470,2.734285905950225,0.6046517702062084,151.16154483027321,29.6248,0.4752,10,주의 필요,매출 성장률이 2.73%로 저조함; 순이익률이 0.60%로 개선 필요; 부채비율이 151.16%로 높음; PER이 29.62로 고평가 가능성; PBR이 0.48로 저평가 가능성,0,0,0,10
SHD,001770,19000,23082682000,0.28222013170272814,2.720450281425891,52.98507462686567,5.018,0.4384,30,주의 필요,매출 성장률이 0.28%로 저조함; 순이익률이 2.72%로 개선 필요; 부채비율이 52.99%로 높음; PER이 5.02로 적정 수준; PBR이 0.44로 저평가 가능성,0,0,0,30
알루코,001780,2410,233360618120,5.361975642760488,2.841547599935784,143.55374010722494,14.1431,0.6042,40,보통,매출 성장률이 5.36%로 저조함; 순이익률이 2.84%로 개선 필요; 부채비율이 143.55%로 높음; PER이 14.14로 적정 수준; PBR이 0.60로 적정 수준,0,0,0,40
대한제당,001790,3005,269538222900,3.107175022515761,1.4922113844810017,120.6008583690987,5.2644,0.4748,30,주의 필요,매출 성장률이 3.11%로 저조함; 순이익률이 1.49%로 개선 필요; 부채비율이 120.60%로 높음; PER이 5.26로 적정 수준; PBR이 0.47로 저평가 가능성,0,0,0,30
오리온홀딩스,001800,22000,1378199284000,8.172523529013475,15.006885327991986,21.614364482341607,2.9703,0.2917,30,주의 필요,매출 성장률이 8.17%로 저조함; 순이익률이 15.01%로 양호함; 부채비율이 21.61%로 높음; PER이 2.97로 저평가 가능성; PBR이 0.29로 저평가 가능성,0,10,0,20
무림SP,001810,1568,34711600000,9.130166563849476,1.8654607122668174,60.21717670286279,11.1973,0.1706,30,주의 필요,매출 성장률이 9.13%로 저조함; 순이익률이 1.87%로 개선 필요; 부채비율이 60.22%로 높음; PER이 11.20로 적정 수준; PBR이 0.17로 저평가 가능성,0,0,0,30
삼화콘덴서,001820,26250,272868750000,5.1994301994302,7.447528774542993,22.745978301533857,14.6704,1.0286,40,보통,매출 성장률이 5.20%로 저조함; 순이익률이 7.45%로 개선 필요; 부채비율이 22.75%로 높음; PER이 14.67로 적정 수준; PBR이 1.03로 적정 수준,0,0,0,40
